airline,airline_name,zone_scheme,cabin,booking_classes,fare_brand,operated_by,status_points_by_zone,asia_miles_basis,asia_miles_value
CX,Cathay Pacific,CX,First,A F,First,Cathay Pacific operated,35;45;60;110;160;180,status_points_x100,100
CX,Cathay Pacific,CX,Business,C J,Business,Cathay Pacific operated,30;40;50;90;130;150,status_points_x100,100
CX,Cathay Pacific,CX,Business,D I P,Business,Cathay Pacific operated,25;35;45;75;100;120,status_points_x100,100
CX,Cathay Pacific,CX,Premium Economy,E,Premium Economy,Cathay Pacific operated,15;20;25;45;65;85,status_points_x100,100
CX,Cathay Pacific,CX,Premium Economy,R W,Premium Economy,Cathay Pacific operated,25;30;35;60;80;100,status_points_x100,100
CX,Cathay Pacific,CX,Economy,B H K Y,Economy Flex,Cathay Pacific operated,25;30;35;48;70;90,status_points_x100,100
CX,Cathay Pacific,CX,Economy,B H K Y,Economy Essential,Cathay Pacific operated,15;20;25;38;60;70,status_points_x100,100
CX,Cathay Pacific,CX,Economy,B H K Y,Economy Light,Cathay Pacific operated,10;15;18;30;40;50,status_points_x100,100
CX,Cathay Pacific,CX,Economy,B H K Y,Codeshare,Partner operated (CX codeshare),10;15;18;30;40;50,status_points_x100,100
CX,Cathay Pacific,CX,Economy,L M V,Economy Flex,Cathay Pacific operated,20;25;30;42;60;80,status_points_x100,100
CX,Cathay Pacific,CX,Economy,L M V,Economy Essential,Cathay Pacific operated,10;15;20;32;50;60,status_points_x100,100
CX,Cathay Pacific,CX,Economy,L M V,Economy Light,Cathay Pacific operated,6;10;12;22;32;40,status_points_x100,100
CX,Cathay Pacific,CX,Economy,L M V,Codeshare,Partner operated (CX codeshare),6;10;12;22;32;40,status_points_x100,100
CX,Cathay Pacific,CX,Economy,N O Q S,Economy Flex,Cathay Pacific operated,15;20;25;32;38;45,status_points_x100,100
CX,Cathay Pacific,CX,Economy,N O Q S,Economy Essential,Cathay Pacific operated,5;10;15;22;28;35,status_points_x100,100
CX,Cathay Pacific,CX,Economy,N O Q S,Economy Light,Cathay Pacific operated,3;6;8;15;18;25,status_points_x100,100
CX,Cathay Pacific,CX,Economy,N O Q S,Codeshare,Partner operated (CX codeshare),3;6;8;15;18;25,status_points_x100,100
AA,American Airlines,PARTNER,First,A F,First,Marketing carrier AA,15;25;?;70;90;100,percent_of_distance,150
AA,American Airlines,PARTNER,Business,C D I J R,Business,Marketing carrier AA,15;25;?;60;75;85,percent_of_distance,150 domestic / 125 international
AA,American Airlines,PARTNER,Premium Economy,P,Premium Economy,Marketing carrier AA,5;10;?;25;35;40,percent_of_distance,100
AA,American Airlines,PARTNER,Premium Economy,W,Premium Economy,Marketing carrier AA,10;15;?;30;40;45,percent_of_distance,110
AA,American Airlines,PARTNER,Economy,Y,Economy,Marketing carrier AA,5;10;?;25;35;40,percent_of_distance,100
AA,American Airlines,PARTNER,Economy,H K L M V,Economy,Marketing carrier AA,5;10;?;20;25;30,percent_of_distance,75
AA,American Airlines,PARTNER,Economy,G N Q S,Economy,Marketing carrier AA,5;5;?;10;10;10,percent_of_distance,25
AC,Air Canada,PARTNER,Business,C D J P Z,Business,Marketing carrier AC,0;0;0;0;0;0,percent_of_distance,125
AC,Air Canada,PARTNER,Premium Economy,A E O,Premium Economy,Marketing carrier AC,0;0;0;0;0;0,percent_of_distance,110
AC,Air Canada,PARTNER,Economy,B H M Q U V W Y,Economy,Marketing carrier AC,0;0;0;0;0;0,percent_of_distance,100
AC,Air Canada,PARTNER,Economy,G K L S T,Economy,Marketing carrier AC,0;0;0;0;0;0,percent_of_distance,25
AS,Alaska Air Group,PARTNER,First,A C D F I J,First,Marketing carrier AS,15;25;50;70;90;?,percent_of_distance,150
AS,Alaska Air Group,PARTNER,Economy,B H K L M N S V Y,Economy,Marketing carrier AS,5;10;20;25;35;?,percent_of_distance,100
AS,Alaska Air Group,PARTNER,Economy,G O Q,Economy,Marketing carrier AS,5;10;15;15;20;?,percent_of_distance,50
AT,Royal Air Maroc,PARTNER,Business,C D I J,Business,Marketing carrier AT,15;25;45;60;75;85,percent_of_distance,125
AT,Royal Air Maroc,PARTNER,Economy,Y,Economy,Marketing carrier AT,5;10;20;25;35;40,percent_of_distance,100
AT,Royal Air Maroc,PARTNER,Economy,B H,Economy,Marketing carrier AT,5;10;15;15;20;25,percent_of_distance,50
AT,Royal Air Maroc,PARTNER,Economy,K L M,Economy,Marketing carrier AT,5;5;5;10;10;10,percent_of_distance,25
AY,Finnair,PARTNER,Business,C D J,Business,Marketing carrier AY,15;25;45;60;75;85,percent_of_distance,125
AY,Finnair,PARTNER,Business,I R,Business,Marketing carrier AY,10;20;35;50;65;70,percent_of_distance,100
AY,Finnair,PARTNER,Premium Economy,E P T W,Premium Economy,Marketing carrier AY,5;10;20;25;35;40,percent_of_distance,100
AY,Finnair,PARTNER,Economy,B H K M Y,Economy,Marketing carrier AY,5;10;20;25;35;40,percent_of_distance,100
